fecha,total_1ra_y_2da_dosis_aplicadas
2021-10-03,108522
2021-10-04,229983
2021-10-05,266632
2021-10-06,247626
2021-10-07,264765
2021-10-08,121313
2021-10-09,115834
2021-10-10,78639
2021-10-11,76309
2021-10-12,347140
2021-10-13,379809
2021-10-14,424303
2021-10-15,426161
2021-10-16,253836
2021-10-17,103637
2021-10-18,423301
2021-10-19,423919
2021-10-20,414527
2021-10-21,419632
2021-10-22,463527
2021-10-23,216640
2021-10-24,145756
2021-10-25,364696
2021-10-26,408970
2021-10-27,328151
2021-10-28,352381
2021-10-29,324685
2021-10-30,129419
2021-10-31,150061
2021-11-01,298504
2021-11-02,320815
2021-11-03,350467
2021-11-04,359829
2021-11-05,311113
2021-11-06,167036
2021-11-07,127840
2021-11-08,250053
2021-11-09,352224
2021-11-10,369483
2021-11-11,382700
2021-11-12,395777
2021-11-13,189570
2021-11-14,9660
2021-11-15,337330
2021-11-16,377907
2021-11-17,367146
2021-11-18,361218
2021-11-19,389754
2021-11-20,173659
2021-11-21,93333
2021-11-22,107292
2021-11-23,336521
2021-11-24,347552
2021-11-25,320447
2021-11-26,332404
2021-11-27,156831
2021-11-28,89412
2021-11-29,357711
2021-11-30,370736
2021-12-01,379908
2021-12-02,395793
2021-12-03,315323
2021-12-04,163656
2021-12-05,96465
2021-12-06,312711
2021-12-07,335378
2021-12-08,135002
2021-12-09,301084
2021-12-10,314409
2021-12-11,155134
2021-12-12,97256
2021-12-13,325505
2021-12-14,337828
2021-12-15,382287
2021-12-16,365927
2021-12-17,330682
2021-12-18,162012
2021-12-19,92344
2021-12-20,345678
2021-12-21,351759
2021-12-22,326570
2021-12-23,238336
2021-12-24,12826
2021-12-25,726
2021-12-26,53001
2021-12-27,432959
2021-12-28,523606
2021-12-29,498367
2021-12-30,425521
2021-12-31,31981
2022-01-01,4521
2022-01-02,103432
2022-01-03,490774
2022-01-04,550322
2022-01-05,544459
2022-01-06,546125
2022-01-07,570277
2022-01-08,270896
2022-01-09,163946
2022-01-10,514888
2022-01-11,500550
2022-01-12,500930
2022-01-13,465748
2022-01-14,420055
2022-01-15,187978
2022-01-16,133736
2022-01-17,420902
2022-01-18,407654
2022-01-19,386968
2022-01-20,383316
2022-01-21,371884
2022-01-22,173492
2022-01-23,118706
2022-01-24,367012
2022-01-25,347581
2022-01-26,344588
2022-01-27,352307
2022-01-28,348347
2022-01-29,157747
2022-01-30,96419
2022-01-31,358985
2022-02-01,342359
2022-02-02,316901
2022-02-03,279671
2022-02-04,322641
2022-02-05,135329
2022-02-06,91292
2022-02-07,287047
2022-02-08,272038
2022-02-09,301442
2022-02-10,268278
2022-02-11,241986
2022-02-12,123601
